"phrase","token_count","source","source_type","vertical","snippet","bucket_guess"
"pregnancy symptoms before missed","4","imported_urls","import_title_subphrase","health","","strong"
"pregnancy symptoms before missed period","5","imported_urls","import_title_subphrase","health","","strong"
"pregnancy tests turn positive","4","","noun_phrase","","","strong"
"pumping and storing breast milk","5","imported_urls","import_title_subphrase","generic","","strong"
"questions calculate conception date","4","","noun_phrase","","","strong"
"rather than monthly mystery","4","","sentence","","","strong"
"re looking up implantation","4","","noun_phrase","","","strong"
"re searching conception date","4","","noun_phrase","","","strong"
"real time ovulation","3","","noun_phrase","","","strong"
"real time ovulation calculator","4","","noun_phrase","","","strong"
"recovery after csection","3","draft_topics","draft_title_subphrase","fitness_wellness","","strong"
"refine due date","3","","noun_phrase","","","strong"
"reliable due date","3","","noun_phrase","","","strong"
"reliable gestational age","3","","noun_phrase","","","strong"
"returning to work breastfeeding","4","draft_topics","draft_title_subphrase","parenting","","strong"
"returning to work breastfeeding plan","5","draft_topics","draft_title","parenting","","strong"
"rhythm for natural family","4","","sentence","","","strong"
"role of follicular phase","4","imported_urls","import_title_subphrase","health","","strong"
"routine rather than monthly","4","","sentence","","","strong"
"safe bathing tips for newborns","5","imported_urls","import_title","parenting","","strong"
"safe exercise","2","draft_topics","draft_title_subphrase","health","","strong"
"safe exercise during pregnancy","4","draft_topics","draft_title","health","","strong"
"safe otc","2","draft_topics","draft_title_subphrase","health","","strong"
"safe otc meds","3","draft_topics","draft_title_subphrase","health","","strong"
"safe otc meds pregnancy","4","draft_topics","draft_title","health","","strong"
"search for calculating ovulation","4","","noun_phrase","","","strong"
"searching calculate conception date","4","","noun_phrase","","","strong"
"searching conception date","3","","noun_phrase","","","strong"
"second pregnancy","2","imported_urls","import_title_subphrase","health","","strong"
"set your due date","4","","noun_phrase","","","strong"
"sets reliable due date","4","","noun_phrase","","","strong"
"several days before ovulation","4","","noun_phrase","","","strong"
"several months without period","4","","noun_phrase","","","strong"
"shorter adjust the ovulation","4","","noun_phrase","","","strong"
"signs of ovulation","3","imported_urls","import_title","health","","strong"
"signs that labor is near","5","imported_urls","import_title","generic","","strong"
"simplest calculate conception date","4","","noun_phrase","","","strong"
"size and confirm ovulation","4","","noun_phrase","","","strong"
"skin changes","2","draft_topics","draft_title_subphrase","health","","strong"
"sooner after their period","4","","noun_phrase","","","strong"
"spotting vs implantation","3","draft_topics","draft_title_subphrase","health","","strong"
"spotting vs implantation explained","4","draft_topics","draft_title","health","","strong"
"stopping hormonal contraception ovulation","4","","noun_phrase","","","strong"
"storing breast milk","3","imported_urls","import_title_subphrase","generic","","strong"
"storing breast milk safely","4","imported_urls","import_title_subphrase","generic","","strong"
"stress and ovulation","3","draft_topics","draft_title","health","","strong"
"surges just before ovulation","4","","noun_phrase","","","strong"
"sustained rise after ovulation","4","","noun_phrase","","","strong"
"symptoms before missed period","4","imported_urls","import_title_subphrase","health","","strong"
"take to get pregnant","4","imported_urls","import_title_subphrase","health","","strong"
"targeted fertile window","3","","noun_phrase","","","strong"
"temperature and cervical mucus","4","","noun_phrase","","","strong"
"temperature bbt offers","3","","noun_phrase","","","strong"
"temperature bbt offers confirmation","4","","noun_phrase","","","strong"
"temperature to confirm ovulation","4","","noun_phrase","","","strong"
"test generally means ovulation","4","","noun_phrase","","","strong"
"time ovulation calculator","3","","noun_phrase","","","strong"
"time prediction with ovulation","4","","noun_phrase","","","strong"
"today mark your period","4","","noun_phrase","","","strong"
"tongue tie","2","draft_topics","draft_title_subphrase","parenting","","strong"
"tongue tie and breastfeeding","4","draft_topics","draft_title","parenting","","strong"
"track ovulation","2","","noun_phrase","","","strong"
"track ovulation cycle","3","imported_urls","import_slug","health","","strong"
"track ovulation cycle naturally","4","imported_urls","import_slug","health","","strong"
"track your ovulation","3","imported_urls","import_title_subphrase","health","","strong"
"track your ovulation cycle","4","imported_urls","import_title_subphrase","health","","strong"
"track your ovulation cycle naturally","5","imported_urls","import_title_subphrase","health","","strong"
"transfer conception date","3","","noun_phrase","","","strong"
"transfer conception date calculator","4","","noun_phrase","","","strong"
"transfer conception date iui","4","","noun_phrase","","","strong"
"transfer conception date so","4","","noun_phrase","","","strong"
"two days before ovulation","4","","noun_phrase","","","strong"
"typically happens on ovulation","4","","noun_phrase","","","strong"
"ultrasound based due date","4","","noun_phrase","","","strong"
"umbilical cord care","3","imported_urls","import_title_subphrase","parenting","","strong"
"umbilical cord care for new","5","imported_urls","import_title_subphrase","parenting","","strong"
"understanding braxton hicks contractions","4","imported_urls","import_title","generic","","strong"
"understanding newborn sleep patterns","4","imported_urls","import_title","parenting","","strong"
"up implantation bleeding date","4","","noun_phrase","","","strong"
"updated due date","3","","noun_phrase","","","strong"
"use basal body temperature","4","","noun_phrase","","","strong"
"use ovulation","2","","noun_phrase","","","strong"
"use the due date","4","","noun_phrase","","","strong"
"using basal body temperature","4","","noun_phrase","","","strong"
"wet phase ovulation","3","","noun_phrase","","","strong"
"when do ovulate","3","","sentence","","","strong"
"when do ovulate question","4","","sentence","","","strong"
"when to ask for help","5","","heading_h2","","","strong"
"whether your goal","3","","sentence","","","strong"
"white cervical mucus","3","","noun_phrase","","","strong"
"why do due dates matter?","5","","","","why do due dates matter?","strong"
"window that follows ovulation","4","","noun_phrase","","","strong"
"without period","2","","noun_phrase","","","strong"
"without period ovulation","3","","noun_phrase","","","strong"
"without period ovulation calculator","4","","noun_phrase","","","strong"
"work breastfeeding plan","3","draft_topics","draft_title_subphrase","parenting","","strong"
